date,num1,num2,num3,num4,num5
02/22/2021,11,15,19,21,41
02/16/2021,9,18,28,38,41
02/17/2021,2,10,15,34,38
02/18/2021,8,9,12,27,36
02/19/2021,4,6,14,17,23
02/20/2021,15,19,32,39,40
02/21/2021,17,24,32,38,41
02/15/2021,13,16,20,21,29
01/15/2021,6,13,15,30,42
01/16/2021,4,15,21,33,45
01/17/2021,3,24,29,30,43
01/18/2021,18,19,22,27,45
01/19/2021,15,29,31,43,45
01/20/2021,1,18,20,27,40
01/21/2021,14,15,16,43,45
01/22/2021,3,6,39,41,45
01/23/2021,5,16,18,21,29
01/24/2021,1,3,17,27,34
01/25/2021,2,25,33,41,44
01/26/2021,1,10,22,27,31
01/27/2021,17,18,25,27,43
01/28/2021,10,13,15,19,44
01/29/2021,6,7,21,26,34
01/30/2021,5,17,21,30,42
01/31/2021,12,33,34,38,40
02/01/2021,6,13,20,30,34
02/02/2021,2,9,27,40,45
02/03/2021,6,18,20,35,42
02/04/2021,5,9,14,17,43
02/05/2021,4,10,11,26,45
02/06/2021,5,16,18,32,34
02/07/2021,2,5,10,13,19
02/08/2021,25,28,35,36,45
02/09/2021,11,16,22,27,39
02/10/2021,9,18,22,26,40
02/11/2021,3,5,15,17,27
02/12/2021,5,14,20,23,35
02/13/2021,4,6,14,20,30
02/14/2021,23,24,27,31,41
01/13/2021,3,18,29,32,45
01/14/2021,6,8,13,15,33
01/08/2021,10,19,35,38,43
01/09/2021,12,24,26,28,36
01/10/2021,7,19,27,29,30
01/11/2021,8,19,21,29,30
01/12/2021,4,8,10,37,39
01/06/2021,14,20,31,32,36
01/07/2021,10,17,21,30,40
01/04/2021,13,28,33,34,41
01/05/2021,3,7,10,29,45
01/03/2021,2,12,34,35,44
01/02/2021,21,24,30,33,34
01/01/2021,16,17,24,36,39
12/31/2020,2,6,7,37,41
12/30/2020,5,7,13,21,31
12/29/2020,1,3,8,24,39
12/28/2020,4,14,28,30,34
12/27/2020,15,22,24,38,45
12/26/2020,12,27,28,33,36
12/24/2020,3,5,11,15,25
12/23/2020,1,7,15,17,35
12/22/2020,16,21,27,29,45
12/21/2020,6,9,11,29,30
12/20/2020,6,24,37,41,42
12/19/2020,23,29,35,39,43
12/18/2020,1,16,17,34,37
12/17/2020,5,18,19,37,42
12/16/2020,6,12,30,33,40
12/15/2020,5,13,25,27,31
12/14/2020,14,19,21,29,44
12/13/2020,9,14,23,24,26
12/12/2020,7,8,23,28,42
12/11/2020,18,19,21,23,32
12/10/2020,1,11,22,38,44
12/09/2020,5,9,19,35,42
12/08/2020,5,9,11,13,35
12/07/2020,8,9,10,21,41
12/06/2020,8,23,25,37,40
12/05/2020,1,18,37,44,45
12/04/2020,11,13,20,28,45
12/03/2020,7,14,19,33,39
12/02/2020,3,9,24,28,40
12/01/2020,1,12,18,35,44
11/30/2020,4,11,13,22,25
11/29/2020,3,6,16,29,37
11/28/2020,7,13,30,37,41
11/27/2020,13,24,31,34,36
11/26/2020,1,6,14,18,40
11/25/2020,5,8,15,19,30
11/24/2020,6,16,34,38,43
11/23/2020,16,20,26,33,34
11/22/2020,7,8,12,30,38
11/21/2020,12,25,28,35,43
11/20/2020,7,14,16,19,44
11/19/2020,5,11,17,27,31
11/18/2020,4,13,28,33,41
11/17/2020,14,26,40,41,44
11/16/2020,2,13,20,38,43
11/15/2020,5,21,32,40,44
11/14/2020,6,7,14,25,39
11/13/2020,14,21,32,38,39
11/12/2020,9,25,27,33,43
11/11/2020,7,18,20,34,36
11/10/2020,1,2,24,26,40
11/09/2020,5,16,22,27,29
11/08/2020,6,12,21,22,23
11/07/2020,1,17,23,25,38
11/06/2020,5,8,17,34,41
11/05/2020,1,10,24,32,33
11/04/2020,2,5,8,21,29
11/03/2020,14,20,28,39,42
11/02/2020,13,21,33,40,42
11/01/2020,5,13,22,29,35
10/31/2020,7,10,11,31,43
10/30/2020,23,26,30,34,42
10/29/2020,18,20,21,30,42
10/28/2020,8,13,28,38,43
10/27/2020,2,13,19,24,27
10/26/2020,1,12,15,32,35
10/25/2020,19,21,32,33,42
10/24/2020,10,15,22,33,35
10/23/2020,3,21,26,42,43
10/22/2020,8,24,26,28,45
10/21/2020,1,5,8,18,41
10/20/2020,27,36,37,42,44
10/19/2020,13,20,24,29,38
10/18/2020,8,10,17,33,35
10/17/2020,6,13,24,28,37
10/16/2020,1,2,23,28,44
10/15/2020,1,6,22,37,40
10/14/2020,1,24,27,29,42
10/13/2020,3,15,36,38,41
10/12/2020,13,15,31,35,36
10/11/2020,9,16,17,20,28
10/10/2020,2,4,6,13,38
10/09/2020,4,14,24,27,36
10/08/2020,3,15,17,32,41
10/07/2020,3,6,17,26,33
10/06/2020,8,27,37,39,45
10/05/2020,20,26,32,33,44
10/04/2020,2,4,22,38,39
10/03/2020,5,6,10,20,45
10/02/2020,8,14,23,29,40
10/01/2020,1,15,35,40,44
09/30/2020,3,14,30,40,45
09/29/2020,7,8,9,15,20
09/28/2020,14,21,32,33,45
09/27/2020,8,9,18,25,45
09/26/2020,3,16,26,27,45
09/25/2020,9,10,11,19,36
09/24/2020,5,27,28,30,39
09/23/2020,5,7,18,23,29
09/22/2020,6,29,35,39,40
09/21/2020,5,17,26,38,42
09/20/2020,9,20,29,35,36
09/19/2020,3,17,19,24,36
09/18/2020,10,14,17,29,30
09/17/2020,1,12,22,25,30
09/16/2020,3,5,7,38,45
09/15/2020,2,18,22,23,29
09/14/2020,1,3,4,35,38
09/13/2020,6,10,12,16,30
09/12/2020,7,21,35,40,41
09/11/2020,8,33,35,37,43
09/10/2020,11,17,25,29,41
09/09/2020,19,29,30,37,39
09/08/2020,3,18,20,21,26
09/07/2020,7,11,19,22,37
09/06/2020,5,20,31,36,38
09/05/2020,2,6,20,34,44
09/04/2020,5,22,26,28,43
09/03/2020,2,28,32,33,35
09/02/2020,7,8,25,28,29
09/01/2020,3,19,26,28,36
08/31/2020,8,9,25,32,43
08/30/2020,3,17,18,32,45
08/29/2020,7,19,25,31,42
08/28/2020,5,10,27,29,42
08/27/2020,2,4,12,17,32
08/26/2020,18,21,25,34,45
08/25/2020,13,20,23,34,40
08/24/2020,6,9,25,31,39
08/23/2020,13,37,39,41,43
08/22/2020,12,17,25,27,31
08/21/2020,12,14,31,37,41
08/20/2020,1,2,14,37,44
08/19/2020,8,10,15,21,26
08/18/2020,9,12,16,21,38
08/17/2020,11,16,26,30,35
08/16/2020,11,15,18,29,30
08/15/2020,7,12,15,34,36
08/14/2020,10,20,21,28,37
08/13/2020,1,12,28,29,31
08/12/2020,2,4,28,30,40
08/11/2020,4,7,8,39,40
08/10/2020,1,4,11,23,26
08/09/2020,4,9,15,22,35
08/08/2020,15,18,28,37,39
08/07/2020,20,24,30,31,45
08/06/2020,4,6,10,33,39
08/05/2020,7,14,20,42,43
08/04/2020,29,32,38,42,45
08/03/2020,8,9,14,24,29
08/02/2020,4,11,12,34,41
08/01/2020,9,10,12,13,22
07/31/2020,1,10,21,23,29
07/30/2020,6,8,12,17,30
07/29/2020,11,27,32,36,40
07/28/2020,2,12,23,38,41
07/27/2020,16,18,22,39,45
07/26/2020,22,23,36,42,45
07/25/2020,11,15,29,36,45
07/24/2020,4,16,19,27,28
07/23/2020,5,7,8,19,21
07/22/2020,10,27,31,36,44
07/21/2020,23,25,28,35,45
07/20/2020,13,16,18,19,33
07/19/2020,3,5,14,19,45
07/18/2020,3,4,12,22,43
07/17/2020,1,9,26,27,32
07/16/2020,14,15,21,31,32
07/15/2020,18,19,21,27,45
07/14/2020,2,6,21,37,42
07/13/2020,18,19,25,30,31
07/12/2020,7,13,25,30,33
07/11/2020,4,13,17,28,41
07/10/2020,16,21,26,43,44
07/09/2020,15,19,31,39,42
07/08/2020,2,8,9,20,23
07/07/2020,5,12,19,22,34
07/06/2020,7,10,17,22,35
07/05/2020,6,29,30,36,38
07/04/2020,21,28,29,31,37
07/03/2020,13,22,37,38,41
07/02/2020,4,7,10,15,26
07/01/2020,2,27,29,38,45
06/30/2020,21,23,26,29,30
06/29/2020,21,24,25,27,45
06/28/2020,1,6,17,19,43
06/27/2020,2,7,29,33,41
06/26/2020,1,14,18,21,41
06/25/2020,12,15,24,32,37
06/24/2020,4,15,21,26,37
06/23/2020,3,5,11,19,29
06/22/2020,16,18,22,37,38
06/21/2020,1,8,14,34,37
06/20/2020,11,18,27,33,37
06/19/2020,5,10,13,25,34
06/18/2020,1,10,18,24,38
06/17/2020,5,15,24,38,40
06/16/2020,12,15,21,32,41
06/15/2020,3,4,16,23,33
06/14/2020,10,19,22,31,41
06/13/2020,4,14,28,30,39
06/12/2020,4,16,20,22,39
06/11/2020,5,11,16,26,39
06/10/2020,6,8,10,24,25
06/09/2020,5,18,19,22,43
06/08/2020,10,17,27,41,43
06/07/2020,6,13,25,27,28
06/06/2020,2,8,15,32,38
06/05/2020,6,12,29,36,43
06/04/2020,2,8,29,31,40
06/03/2020,1,26,31,36,39
06/02/2020,3,7,12,17,27
06/01/2020,1,10,15,19,22
05/31/2020,1,17,29,34,39
05/30/2020,8,12,20,40,41
05/29/2020,11,17,30,31,36
05/28/2020,5,20,34,37,41
05/27/2020,10,14,16,34,39
05/26/2020,3,4,9,32,34
05/25/2020,5,31,32,33,39
05/24/2020,3,8,24,27,34
05/23/2020,6,12,13,19,27
05/22/2020,6,10,11,16,34
05/21/2020,8,14,20,28,33
05/20/2020,6,18,21,25,34
05/19/2020,3,4,10,30,35
05/18/2020,17,18,22,35,40
05/17/2020,1,4,32,41,42
05/16/2020,12,15,20,23,38
05/15/2020,18,29,30,42,43
05/14/2020,15,24,29,33,43
05/13/2020,11,12,19,23,29
05/12/2020,2,25,28,32,43
05/11/2020,1,11,21,33,40
05/10/2020,9,24,25,26,32
05/09/2020,5,12,13,16,32
05/08/2020,13,26,27,37,38
05/07/2020,2,6,9,13,34
05/06/2020,8,23,33,41,43
05/05/2020,10,27,29,38,41
05/04/2020,2,11,28,36,37
05/03/2020,3,11,14,17,31
05/02/2020,15,16,21,24,40
05/01/2020,22,28,36,39,40
04/30/2020,13,14,21,25,33
04/29/2020,9,20,25,33,36
04/28/2020,8,12,21,36,40
04/27/2020,12,38,39,40,41
04/26/2020,20,27,30,40,43
04/25/2020,17,20,27,32,36
04/24/2020,2,3,21,26,30
04/23/2020,8,31,33,41,42
04/22/2020,1,7,9,12,31
04/21/2020,2,16,20,34,40
04/20/2020,15,18,27,37,41
04/19/2020,3,10,15,30,33
04/18/2020,8,20,21,35,41
04/17/2020,3,4,14,16,20
04/16/2020,3,5,10,30,33
04/15/2020,1,24,29,30,33
04/14/2020,9,15,18,24,26
04/13/2020,6,12,19,22,23
04/12/2020,1,11,18,31,38
04/11/2020,15,17,23,29,42
04/10/2020,4,15,24,34,37
04/09/2020,4,10,15,28,43
04/08/2020,5,7,18,29,31
04/07/2020,1,8,19,23,42
04/06/2020,7,9,27,31,35
04/05/2020,5,10,11,22,42
04/04/2020,2,11,17,34,42
04/03/2020,2,4,16,34,38
04/02/2020,5,17,22,25,42
04/01/2020,4,5,19,38,39
03/31/2020,4,11,12,17,32
03/30/2020,2,19,30,37,40
03/29/2020,26,27,28,32,34
03/28/2020,18,23,28,35,43
03/27/2020,4,14,17,19,23
03/26/2020,14,21,26,37,38
03/25/2020,6,9,11,15,24
03/24/2020,3,24,29,32,42
03/23/2020,5,16,26,33,42
03/22/2020,5,9,14,16,40
03/21/2020,6,11,13,19,23
03/20/2020,3,15,18,33,43
03/19/2020,11,18,36,39,43
03/18/2020,1,7,21,23,31
03/17/2020,2,14,24,32,38
03/16/2020,7,15,20,31,36
03/15/2020,12,16,24,29,31
03/14/2020,2,18,22,36,42
03/13/2020,10,28,33,34,38
03/12/2020,5,9,17,29,41
03/11/2020,12,18,21,35,39
03/10/2020,12,19,20,25,39
03/09/2020,14,25,26,35,36
03/08/2020,18,33,37,38,39
03/07/2020,3,11,20,28,33
03/06/2020,5,11,15,18,23
03/05/2020,6,14,15,23,27
03/04/2020,10,15,25,35,41
03/03/2020,2,33,38,40,43
03/02/2020,6,10,32,39,41
03/01/2020,1,4,12,28,31
02/29/2020,7,16,21,37,41
02/28/2020,11,22,27,29,38
02/27/2020,5,22,24,40,41
02/26/2020,10,12,15,22,32
02/25/2020,3,11,22,36,40
02/24/2020,13,19,20,22,42
02/23/2020,5,9,21,39,41
02/22/2020,24,25,28,34,39
02/21/2020,8,25,27,28,31
02/20/2020,10,11,14,17,28
02/19/2020,4,6,15,22,39
02/18/2020,15,19,20,23,31
02/17/2020,8,20,25,29,34
02/16/2020,6,21,27,29,33
02/15/2020,5,9,14,23,24
02/14/2020,18,25,31,41,43
02/13/2020,1,11,21,33,36
02/12/2020,18,19,21,37,38
02/11/2020,8,9,19,27,37
02/10/2020,12,14,18,21,30
02/09/2020,1,4,30,33,37
02/08/2020,10,20,23,25,35
02/07/2020,2,16,25,39,41
02/06/2020,8,13,27,38,43
02/05/2020,2,17,31,35,42
02/04/2020,5,18,20,22,41
02/03/2020,10,23,26,29,36
02/02/2020,1,9,10,22,43
02/01/2020,6,19,27,35,36
01/31/2020,7,8,31,32,35
01/30/2020,13,17,29,35,42
01/29/2020,12,19,28,34,37
01/28/2020,4,21,24,31,39
01/27/2020,15,17,30,33,43
01/26/2020,6,10,19,25,28
01/25/2020,8,25,30,32,39
01/24/2020,19,23,24,26,34
01/23/2020,21,22,35,39,43
01/22/2020,3,12,19,28,32
01/21/2020,7,11,27,33,38
01/20/2020,6,7,20,39,41
01/19/2020,4,16,19,41,42
01/18/2020,5,17,18,31,43
01/17/2020,17,30,34,35,39
01/16/2020,13,28,36,39,42
01/15/2020,7,10,12,34,35
01/14/2020,8,11,14,16,40
01/13/2020,1,11,17,29,43
01/12/2020,5,15,19,28,35
01/11/2020,3,9,10,12,39
01/10/2020,6,13,24,34,40
01/09/2020,2,5,9,15,28
01/08/2020,16,21,22,23,34
01/07/2020,7,17,19,30,31
01/06/2020,14,28,33,37,43
01/05/2020,2,9,18,35,42
01/04/2020,9,26,36,41,43
01/03/2020,2,12,28,40,43
01/02/2020,17,19,22,29,40
01/01/2020,3,20,25,26,41
